record_id,source_id,source_title,record_name,normalized_name,text_exists,text_characters,image_count,dimension_signature,entity_attribute_count,asset_status,text_path,image_directory
Gq00075,Gq,古琴,无名琴 · Gq00075,无名琴,True,248,4,L=119.5cm; W=15.4cm; T=5.5cm; TW=12.6cm; TT=5cm,7,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00075.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00075
Gq00076,Gq,古琴,写韵,写韵,True,421,4,L=119.7cm; W=19.1cm; T=5.2cm,8,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00076.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00076
Gq00077,Gq,古琴,无名琴 · Gq00077,无名琴,True,187,4,L=119cm; W=18.5cm; T=6cm; TW=13.2cm; TT=5.7cm,10,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00077.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00077
Gq00078,Gq,古琴,无名琴 · Gq00078,无名琴,True,214,4,L=119cm; W=17.7cm; T=5cm; TW=13.1cm; TT=4.4cm,8,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00078.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00078
Gq00079,Gq,古琴,无名琴 · Gq00079,无名琴,True,226,4,L=123.8cm; W=18.2cm; T=4.5cm,7,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00079.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00079
Gq00080,Gq,古琴,无名琴 · Gq00080,无名琴,True,209,4,L=123.1cm; W=17.7cm; T=4.6cm,7,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00080.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00080
Gq00081,Gq,古琴,无名琴 · Gq00081,无名琴,True,201,5,L=122.2cm; W=19.5cm; T=4.4cm,7,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00081.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00081
Gq00082,Gq,古琴,无名琴 · Gq00082,无名琴,True,175,5,L=121.2cm; W=19.1cm; T=4.2cm,7,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00082.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00082
Gq00083,Gq,古琴,无名琴 · Gq00083,无名琴,True,217,9,L=123.5cm; W=19.7cm; T=4.8cm,6,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Gq-txt-id/Gq00083.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Gq00083
Yjzq00008,Yjzq,一见钟琴,襄,襄,True,408,5,L=124cm; W=20.4cm; T=5.4cm,8,complete,/Users/yudong/Desktop/KGExplorer/backend/data/raw/text/Yjzq-txt-id/Yjzq00008.txt,/Users/yudong/Desktop/KGExplorer/backend/data/raw/image/Yjzq00008
